Key,german
ulmResourceRebarTitaniumDesc,"Wird für den Bau von fortschrittlichen Gegenständen und Blöcken verwendet."
ulmResourceResearch,"Forschungsdaten"
ulmResourceResearchDesc,"Eine Sammlung von wertvollen Forschungsdaten. Wenn genügend Daten gesammelt wurden, können neue Blaupausen am Forschungstisch erforscht werden."
ulmResourceResin,"Harz"
ulmResourceResinDesc,"Hochviskose Substanz, die von Bäumen geerntet werden kann. Oft sind es Mischungen aus organischen Verbindungen. Viele Pflanzen, insbesondere Holzpflanzen, produzieren Harz als Reaktion auf Verletzungen."
ulmResourceRope,"Seil"
ulmResourceRopeDesc,"Gedrehte oder geflochtene Faserstücke, die ein Seil bilden und viel stärker sind als die Fasern selbst."
ulmResourceScrapCopper,"Kupferschrott"
ulmResourceScrapCopperDesc,"Wird meist für die Herstellung von Kupferrohren und -drähten verwendet."
ulmResourceScrapLeather,"Lederschrott"
ulmResourceScrapLeatherDesc,"Wird zum Ausbessern von Lederrüstungen verwendet. Repariert die Haltbarkeit um [decea3]50[-]."
ulmResourceScrapOrganic,"Organische Abfälle"
ulmResourceScrapOrganicDesc,"Eine gemischte Substanz aus organischen Stoffen, die zur Herstellung von Dünger für die Bodenbearbeitung verwendet wird."
ulmResourceScrapPlank,"Zerbrochenes Holz"
ulmResourceScrapPlankDesc,"Ein zerbrochenes Holzbrett. Wenn du ähnliche Stücke findest, kannst du sie vielleicht mit Leim wiederherstellen."
ulmResourceScrapRubber,"Gummiabfälle"
ulmResourceScrapRubberDesc,"Altgummi kann für die Herstellung von Gummirädern und anderen Komponenten verwendet werden."
ulmResourceScrapSteel,"Stahlschrott"
ulmResourceScrapSteelDesc,"Eine Sammlung von verschiedenen geborgenen Stahlplatten, -profilen und -paneelen. Gewonnen durch das Verschrotten von Gegenständen, die meist aus Stahl als Grundmaterial bestehen."
ulmResourceScrapTitanium,"Titan-Schrott"
ulmResourceScrapTitaniumDesc,"Wird für die Herstellung von Legierungen auf Titanbasis verwendet."
ulmResourceScrapWires,"Drahtschrott"
ulmResourceScrapWiresDesc,"Die meisten elektronischen Geräte benötigen irgendeine Form von elektrischer Verdrahtung, damit der Strom von einem Bauteil zum anderen fließen kann."
ulmResourceScrapWood,"Holzschrott"
ulmResourceScrapWoodDesc,"Kleine bis mittelgroße Holzstücke, die durch Schneiden oder Hacken größerer Holzstücke wie Bäume, Äste, Holzabfälle, Stümpfe, Wurzeln, Holzabfälle usw. entstehen."
ulmResourceStonePowder,"Steinmehl"
ulmResourceStonePowderDesc,"Fein gemahlener Stein"
ulmResourceSulfurPowder,"Schwefelmehl"
ulmResourceSulfurPowderDesc,"Wird in erster Linie durch das Schürfen von Schwefelerz gewonnen und zur Herstellung von Schießpulver verwendet. Kann auch aus Eiern oder verrottendem Fleisch gewonnen werden."
ulmResourceTreeRepairKit,"Baum-Reparaturset"
ulmResourceTreeRepairKitDesc,"Alle wichtigen Teile für die Reparatur der meisten Bäume."
ulmResourceTruckRepairKit,"Lkw-Reparatursatz"
ulmResourceTruckRepairKitDesc,"Enthält alle notwendigen Teile, um einen Lastwagen wieder in einen funktionstüchtigen Zustand zu versetzen."
ulmResourceTruckRepairKitBlueprint,"Lkw-Reparatursatz"
ulmResourceTruckRepairKitBlueprintDesc,"Anleitung zum Bau eines [decea3]Lkw-Reparatursatzes[-]."
ulmResourceTruckWheel,"Lkw-Rad"
ulmResourceTruckWheelDesc,"Generisches Lkw-Rad"
ulmResourceTruckWheelBlueprint,"Lkw-Rad"
ulmResourceTruckWheelBlueprintDesc,"Anleitung zur Herstellung eines [decea3]Truck Wheel[-]."
ulmResourceLumber,"Holz"
ulmResourceLumberDesc,"Kann in andere Ressourcen wie Bretter, Brennholz usw. weiterverarbeitet werden."
ulmBookSniperRifles,"Scharfschützengewehre"
ulmBookSniperRiflesDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Scharfschützengewehre[-] um [decea3]1[-]."
ulmBookArchery,"Bögen und Armbrüste"
ulmBookArcheryDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Bögen und Armbrüste[-] um [decea3]1[-]."
ulmBookSpears,"Speere"
ulmBookSpearsDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Speere[-] um [decea3]1[-]."
ulmBookLockPicking,"Schlossknacken"
ulmBookLockPickingDesc,"Das Lesen dieses Buches erhöht deine Stufe in der Fertigkeit [decea3]Schlossknacken[-] um [decea3]1[-]."
ulmBookLooting,"Plündern"
ulmBookLootingDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Plündern[-] um [decea3]1[-]."
ulmBookButcher,"Tiere zerlegen"
ulmBookButcherDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Tiere zerlegen[-] um [decea3]1[-]."
ulmBookAssaultRifles,"Maschinengewehre"
ulmBookAssaultRiflesDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Maschinengewehre[-] um [decea3]1[-]."
ulmBookClubs,"Knüppel"
ulmBookClubsDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Knüppel[-]-Fertigkeit um [decea3]1[-]."
ulmBookSledgehammers,"Vorschlaghämmer"
ulmBookSledgehammersDesc,"Wenn du dieses Buch liest, steigt deine Stufe in der Fertigkeit [decea3]Vorschlaghämmer[-] um [decea3]1[-]."
ulmBookAxes,"Holzfällerwerkzeuge"
ulmBookAxesDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Holzfällerwerkzeuge[-] um [decea3]1[-]."
ulmBookShovels,"Grabe-Werkzeuge"
ulmBookShovelsDesc,"Wenn du dieses Buch liest, steigt deine Stufe in der Fertigkeit [decea3]Grabe-Werkzeuge[-] um [decea3]1[-]."
ulmBookMining,"Bergbau-Werkzeuge"
ulmBookMiningDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Bergbau-Werkzeuge[-] um [decea3]1[-]."
ulmBookShotguns,"Schrotflinten"
ulmBookShotgunsDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Schrotflinten[-] um [decea3]1[-]."
ulmBookBrawler,"Schläger"
ulmBookBrawlerDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Schläger[-] um [decea3]1[-]."
ulmBookResistHeat,"Hitze-Widerstand"
ulmBookResistHeatDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Hitze-Widerstand[-] um [decea3]1[-]."
ulmBookResistCold,"Kälte-Widerstand"
ulmBookResistColdDesc,"Das Lesen dieses Buches erhöht deine Stufe in der Fertigkeit [decea3]Kälte-Widerstand[-] um [decea3]1[-]."
ulmBookResistPain,"Schmerz-Resistenz"
ulmBookResistPainDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Schmerz-Resistenz[-] um [decea3]1[-]."
ulmBookHealing,"Heilung"
ulmBookHealingDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Heilung[-] um [decea3]1[-]."
ulmBookHandguns,"Handfeuerwaffen"
ulmBookHandgunsDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Handfeuerwaffen[-] um [decea3]1[-]."
ulmBookBlades,"Messer und Schwerter"
ulmBookBladesDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Messer und Schwerter[-] um [decea3]1[-]."
ulmBookAthletics,"Athletik"
ulmBookAthleticsDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Athletik[-] um [decea3]1[-]."
ulmBookSneaking,"Schleichen"
ulmBookSneakingDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Schleichen[-] um [decea3]1[-]."
ulmBookAssasin,"Meuchelmörder"
ulmBookAssasinDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Meuchelmörder[-] um [decea3]1[-]."
ulmBookSubmachineGuns,"Maschinenpistolen"
ulmBookSubmachineGunsDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Maschinenpistolen[-] um [decea3]1[-]."
ulmBookShockers,"Schlagstöcke"
ulmBookShockersDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Schlagstöcke[-] um [decea3]1[-]."
ulmBookTrading,"Handel"
ulmBookTradingDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Handel[-] um [decea3]1[-]."
ulmBookQuesting,"Aufträge"
ulmBookQuestingDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Aufträge[-] um [decea3]1[-]."
ulmBookSalvaging,"Bergungswerkzeuge"
ulmBookSalvagingDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Bergungswerkzeug[-] um [decea3]1[-]."
ulmBookStrength,"Gewichtheben"
ulmBookStrengthDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Gewichtheben[-] um [decea3]1[-]."
ulmToolBerserkerDrill,"Walküren-Bohrer"
ulmToolBerserkerDrillDesc,"[decea3]+200%[-] mehr Schaden an Erz, Asphalt und [decea3]+120%[-] mehr Schaden an Erde."
ulmToolBerserkerDrillBlueprint,"Walküre-Bohrer"
ulmToolBerserkerDrillBlueprintDesc,"Ermöglicht das Erlernen neuer Rezepte. Wenn es bereits bekannt ist, erhälst du stattdessen Erfahrungspunkte."
ulmToolBoneSaw,"Knochensäge"
ulmToolBoneSawDesc,"Eine grobe Knochensäge, mit der man Tierkadaver in kleinere Teile zerlegen kann."
ulmMeleeAxeCarpenters,"Zimmermannsaxt"
ulmMeleeAxeCarpentersDesc,"[decea3]+200%[-] mehr Schaden an Bäumen."
ulmToolFryingPan,"Bratpfanne"
ulmToolFryingPanDesc,"Eine alte Bratpfanne. Ziemlich schwer und unausgewogen, um als Waffe verwendet zu werden, aber wenn sie das Einzige ist, was zur Verfügung steht, kann sie dir das Leben retten."
ulmToolHammerWood,"Holzhammer"
ulmToolHammerWoodDesc,"Der einfachste Holzhammer für Schreinerarbeiten. Kann zum Reparieren oder Verbessern von Blöcken verwendet werden."
ulmToolJackhammer,"Presslufthammer"
ulmToolJackhammerDesc,"[decea3]+200%[-] mehr Schaden an Erzen und Asphalt. Richte ihn auf Felsen oder Beton und halte ihn ruhig, um sie in Sekundenschnelle zu zerschlagen!"
ulmToolJackhammerBlueprint,"Presslufthammer"
ulmToolJackhammerBlueprintDesc,"Ermöglicht das Erlernen neuer Rezepte. Wenn es bereits bekannt ist, erhälst du stattdessen Erfahrungspunkte."
ulmToolMoldBrick,"Ziegelsteinform"
ulmToolMoldBrickDesc,"Form zum Formen von Ton zu Ziegeln."
ulmToolMoldGlass,"Plattenform"
ulmToolMoldGlassDesc,"Form, in der flüssiger Sand, Glas oder Metall zu festen Platten erstarren."
ulmToolMoldIngot,"Barrenform"
ulmToolMoldIngotDesc,"Form, in der flüssige Metalle zu Barren erstarren."
ulmToolPickaxeIceBreaker,"Eisbrecher-Spitzhacke"
ulmToolPickaxeIceBreakerDesc,"[decea3]+100%[-] mehr Schaden an Erzen und Asphalt. Normalerweise wird dieses Werkzeug zum Brechen von Eis verwendet, aber angeblich kann es auch zum Abbau von Gestein oder Erz verwendet werden."
ulmToolPickaxeScrapIron,"Schrottspitzhacke"
ulmToolPickaxeScrapIronDesc,"[decea3]+100%[-] mehr Schaden gegen Erz und Asphalt. Grob geformter Eisenschrott mit einer spitzen Spitze, die einer Spitzhacke ähnelt und deren Haltbarkeit fraglich ist."
ulmToolPickaxeStone,"Steinspitzhacke"
ulmToolPickaxeStoneDesc,"[decea3]+100%[-] mehr Schaden gegen Erz und Asphalt. Es mag unlogisch erscheinen, Stein gegen Stein zu schlagen, aber mit roher Gewalt und Glück kannst du mit diesem sehr primitiven Bergbauwerkzeug vielleicht ein paar Felsen abbauen."
ulmToolPickaxeTitanium,"Titanspitzhacke"
ulmToolPickaxeTitaniumDesc,"[decea3]+100%[-] mehr Schaden bei Erz und Asphalt. Hergestellt aus sehr haltbarem Titan, wird hauptsächlich zum Abbau von Felsen oder Erz verwendet."
ulmToolPickaxeTitaniumBlueprint,"Titanspitzhacke"
ulmToolPickaxeTitaniumBlueprintDesc,"Ermöglicht das Erlernen neuer Rezepte. Wenn es bereits bekannt ist, erhälst du stattdessen Erfahrungspunkte."
ulmToolSaw,"Säge"
ulmToolSawDesc,"Sie kann kaum Holz durchtrennen, aber sie kann trotzdem nützlich sein."
ulmToolShovelScrapIron,"Schrottschaufel"
ulmToolShovelScrapIronDesc,"Zusammengebaut aus verschiedenen Schrottteilen. Sollte besser funktionieren als ein Stück Stein, das mit einem Seil an einen Stock geschnallt ist."
ulmToolShovelTitanium,"Titanschaufel"
ulmToolShovelTitaniumDesc,"Das luxuriöseste Werkzeug, um sich durch Erde, Sand oder Schnee zu graben."
ulmQualityUnlocksGroupDesc,"Eine Sammlung von Forschungsdaten zur Verbesserung eurer Handwerksfertigkeiten und zur Herstellung von Gegenständen besserer Qualität in dieser Kategorie.\n\n[decea3]Frühere Stufen dieser Forschung müssen vor der Verwendung erlernt werden!"
ulmDebuffEncumbered,"Überlastet"
ulmDebuffEncumberedDesc,"Ihr tragt mehr, als euer Körper und eure Ausrüstung verkraften können. Solange du belastet bist, werden deine Beweglichkeit und Sprungkraft abnehmen, und je mehr du belastet bist, desto stärker ist der Effekt. Eine zu große Belastung des Körpers kann zu langfristigen Problemen führen, sei also vorsichtig."
ulmBuffHercules,"Herkules"
ulmBuffHerculesDesc,"Deine Belastbarkeit wurde um [decea3]200[-] erhöht. \nStapelbar mit dem [decea3]Steroide[-]-Effekt."
ulmBuffHoldHeavyWeapon,"Schwere Waffe"
ulmBuffHoldHeavyWeaponDesc,"Du hältst eine schwere Waffe in der Hand, die deine Bewegungen und Sprünge um [decea3]25%[-] reduziert."
ulmBuffHoldMovementSpeed10,"Erhöhte Geschwindigkeit"
ulmBuffHoldMovementSpeed10Desc,"Du hältst eine Waffe in der Hand, die dich um [decea3]10%[-] schneller gehen und laufen lässt."
attbooks,"Sammlerstücke"
skillCombatPerksName,"Kampf"
skillAgilityAthleticsName,"Athletik"
skillAgilityStealthName,"Tarnung"
skillIntellectInfluenceName,"Einfluss"
skillIntellectCraftsmanshipName,"Plündern"
ulm_AttAttributes,"Entwicklung"
ulm_AttAttributesDesc,"\n\n\n\n\n\n\n\n\n\n\n\n Wählen Sie eine der Fertigkeiten auf der rechten Seite aus, um detailliertere Informationen darüber zu erhalten"
ulm_skill_placeholder,"Fertigkeit nicht verfügbar"
ulmAttributes,"Attribute"
attActionSkills,"Fertigkeiten"
ulmBooks,"Sammlerstücke"
reqSkillPoints1,"1 Fertigkeitspunkt"
reqSkillPoints2,"2 Fertigkeitspunkte"
reqSkillPoints3,"3 Fertigkeitspunkte"
actionPerkTipExp,"EXP"
actionPerkTipExpLong,"Aktuelle Erfahrung"
actionPerkTipExpNext,"NÄCHSTES"
actionPerkTipExpNextLong,"Erfahrung zum Aufleveln"
actionSkillDeathPenalty,"Du hast einen Gedächtnisverlust erlitten, wodurch sich einige deiner \n[decea3]Fertigkeiten[-] um eine Stufe verschlechtert haben."
attPerceptionName,"Wahrnehmung"
attPerceptionDesc,"Meistere [decea3]Wahrnehmungs[-]-Fertigkeiten schneller, verbessere Kopfschuss-Schaden und Chance zu Verstümmeln für: [decea3]Jagdgewehre[-], [decea3]Scharfschützengewehre[-], [decea3]Bögen[-], [decea3]Armbrüste[-] und [decea3]Speere[-]"
attPerceptionDesc01,"Fertigkeits-EXP [decea3]+10%[-]\nKopfschuss-Schaden [decea3]+5%[-]\nChance zu Verstümmeln [decea3]+2,5%[-]"
attPerceptionDesc02,"Fertigkeits-EXP [decea3]+20%[-]\nKopfschuss-Schaden [decea3]+10%[-]\nChance zu Verstümmeln [decea3]+5%[-]"
attPerceptionDesc03,"Fertigkeits-EXP [decea3]+30%[-]\nKopfschuss-Schaden [decea3]+15%[-]\nChance zu Verstümmeln [decea3]+7,5%[-]"
attPerceptionDesc04,"Fertigkeits-EXP [decea3]+40%[-]\nKopfschuss-Schaden [decea3]+20%[-]\nChance zu Verstümmeln [decea3]+10%[-]"
attPerceptionDesc05,"Fertigkeits-EXP [decea3]+50%[-]\nKopfschuss-Schaden [decea3]+25%[-]\nChance zu Verstümmeln [decea3]+12,5%[-]"
attPerceptionDesc06,"Fertigkeits-EXP [decea3]+60%[-]\nKopfschuss-Schaden [decea3]+30%[-]\nChance zu Verstümmeln [decea3]+15%[-]"
attPerceptionDesc07,"Fertigkeits-EXP [decea3]+70%[-]\nKopfschuss-Schaden [decea3]+35%[-]\nChance zu Verstümmeln [decea3]+17,5%[-]"
attPerceptionDesc08,"Fertigkeits-EXP [decea3]+80%[-]\nKopfschuss-Schaden [decea3]+40%[-]\nChance zu Verstümmeln [decea3]+20%[-]"
attPerceptionDesc09,"Fertigkeits-EXP [decea3]+90%[-]\nKopfschuss-Schaden [decea3]+45%[-]\nChance zu Verstümmeln [decea3]+22,5%[-]"
attPerceptionDesc10,"Fertigkeits-EXP [decea3]+100%[-]\nKopfschuss-Schaden [decea3]+50%[-]\nChance zu Verstümmeln [decea3]+25%[-]"
skillPerceptionGeneralName,"Jagen"
skillPerceptionScavengingName,"Plündern"
perkDeadEye1,"Jagd- und Scharfschützengewehre verursachen [decea3]5%[-] mehr Schaden, zielen besser und laden [decea3]4%[-] schneller nach."
perkDeadEye2,"Jagd- und Scharfschützengewehre verursachen [decea3]10%[-] mehr Schaden und zielen besser, und laden [decea3]8%[-] schneller nach"
perkDeadEye3,"Jagd- und Scharfschützengewehre verursachen [decea3]15%[-] mehr Schaden, zielen besser und laden [decea3]12%[-] schneller nach. Das Zielen verbraucht [decea3]10%[-] weniger Ausdauer und aufeinanderfolgende Kills können einen Bonusschaden von bis zu [decea3]30%[-] für die Kill-Serie auslösen."
perkDeadEye4,"Jagd- und Scharfschützengewehre verursachen [decea3]20%[-] mehr Schaden, zielen besser und laden [decea3]16%[-] schneller nach. Das Zielen verbraucht [decea3]20%[-] weniger Ausdauer und aufeinanderfolgende Kills können einen Bonusschaden von bis zu [decea3]40%[-] für die Kill-Serie auslösen."
perkDeadEye5,"Jagd- und Scharfschützengewehre verursachen [decea3]25%[-] mehr Schaden, zielen besser und laden [decea3]20%[-] schneller nach. Das Zielen verbraucht [decea3]30%[-] weniger Ausdauer und aufeinanderfolgende Kills können einen Bonusschaden von bis zu [decea3]50%[-] für die Kill-Serie auslösen."
perkArchery1,"Bögen und Armbrüste haben [decea3]+5%[-] Schaden, Zielgenauigkeit, Zieh- und Nachladegeschwindigkeit"
perkArchery2,"Bögen und Armbrüste haben [decea3]+10%[-] Schaden, Zielgenauigkeit, Zieh- und Nachladegeschwindigkeit"
perkArchery3,"Bögen und Armbrüste haben [decea3]+15%[-] Schaden, Zielgenauigkeit, Zieh- und Nachladegeschwindigkeit"
perkArchery4,"Bögen und Armbrüste haben [decea3]+20%[-] Schaden, Zielgenauigkeit, Zieh- und Nachladegeschwindigkeit"
perkArchery5,"Bögen und Armbrüste haben [decea3]+25%[-] Schaden, Zielgenauigkeit, Zieh- und Nachladegeschwindigkeit"
perkJavelinMaster1,"Speere und Wurfspeere verursachen [decea3]5%[-] mehr Schaden und werden mit [decea3]5%[-] mehr Kraft geworfen"
perkJavelinMaster2,"Speere und Javelins verursachen [decea3]10%[-] mehr Schaden und werden mit [decea3]10%[-] mehr Kraft geworfen"
perkJavelinMaster3,"Speere und Wurfspeere verursachen [decea3]15%[-] mehr Schaden und werden mit [decea3]15%[-] mehr Kraft geworfen"
perkJavelinMaster4,"Speere und Wurfspeere verursachen [decea3]20%[-] mehr Schaden und werden mit [decea3]20%[-] mehr Kraft geworfen"
perkJavelinMaster5,"Speere und Speere verursachen [decea3]25%[-] mehr Schaden, und werden mit [decea3]25%[-] mehr Kraft geworfen"
perkLockPicking1,"[decea3]+25[-] Schlossknacken\nHaarnadeln haben [decea3]20%[-] mehr Haltbarkeit"
perkLockPicking2,"[decea3]+50[-] Schlossknacken\nHaarnadeln haben [decea3]40%[-] mehr Haltbarkeit"
perkLockPicking3,"[decea3]+75[-] Schlossknacken\nHaarnadeln haben [decea3]60%[-] mehr Haltbarkeit"
perkLockPicking4,"[decea3]+100[-] Schlossknacken\nHaarnadeln haben [decea3]80%[-] mehr Haltbarkeit"
perkTheHuntsman1,"Messer und Waffen ernten [Decea3]10%[-] mehr Ressourcen beim Zerlegen von Tieren"
perkTheHuntsman2,"Messer und Waffen ernten [decea3]20%[-] mehr Ressourcen beim Zerlegen von Tieren"
perkTheHuntsman3,"Messer und Waffen ernten [decea3]30%[-] mehr Ressourcen beim Zerlegen von Tieren"
perkTheHuntsman4,"Messer und Waffen ernten [decea3]40%[-] mehr Ressourcen beim Zerlegen von Tieren"
perkTheHuntsman5,"Messer und Waffen ernten [decea3]50%[-] mehr Ressourcen beim Zerlegen von Tieren"
attActionSkillsDesc,"Fertigkeiten steigen passiv auf, wenn du verschiedene Aufgaben ausführst.\n\nBei verschiedenen Aufgaben steigen unterschiedliche Fertigkeiten auf, z.B. wenn du eine bestimmte Waffe benutzt, eine körperliche Aktivität ausführst usw.\n\nWähle eine der Fertigkeiten aus, um den aktuellen Fertigkeitsfortschritt zu sehen."
actionPerkDesc,"[decea3]Fertigkeit[-]: Die Stufe steigt von selbst an, wenn du eine bestimmte Aufgabe ausführst oder ein spezielles Fertigkeitsbuch zu dieser Fertigkeit findest und liest.\n\n"
actionPerkSniperRifles,"Scharfschützengewehre"
actionPerkSniperRiflesLevelUp,"Deine Fertigkeit [decea3]Scharfschützengewehre[-] hat sich verbessert!"
actionPerkSniperRifles1,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+5%[-]\nKopfschuss-Schaden [decea3]+10%[-]\nNachladegeschwindigkeit [decea3]+2%[-]\n[decea3]Schaltet die Herstellung von 7,92mm-Hohlspitzmunition frei[-]"
actionPerkSniperRifles2,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+10%[-]\nKopfschuss-Schaden [decea3]+20%[-]\nNachladegeschwindigkeit [decea3]+4%[-]\n[decea3]Schaltet 7.92mm panzerbrechende Munition zum Herstellen frei[-]"
actionPerkSniperRifles3,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+15%[-]\nKopfschuss-Schaden [decea3]+30%[-]\nNachladegeschwindigkeit [decea3]+6%[-]"
actionPerkSniperRifles4,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+20%[-]\nKopfschuss-Schaden [decea3]+40%[-]\nNachladegeschwindigkeit [decea3]+8%[-]"
actionPerkSniperRifles5,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+25%[-]\nKopfschuss-Schaden [decea3]+50%[-]\nNachladegeschwindigkeit [decea3]+10%[-]"
actionPerkArchery,"Bögen und Armbrüste"
actionPerkArcheryLevelUp,"Deine Fertigkeit [decea3]Bögen und Armbrüste[-] hat sich verbessert!"
actionPerkArchery1,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+5%[-]\nKopfschuss-Schaden [decea3]+10%[-]\nNachlade- und Ziehgeschwindigkeit [decea3]+5%[-]"
actionPerkArchery2,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+10%[-]\nKopfschuss-Schaden [decea3]+20%[-]\nNachlade- und Ziehgeschwindigkeit [decea3]+10%[-]"
actionPerkArchery3,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+15%[-]\nKopfschuss-Schaden [decea3]+30%[-]\nNachlade- und Ziehgeschwindigkeit [decea3]+15%[-]"
actionPerkArchery4,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+20%[-]\nKopfschuss-Schaden [decea3]+40%[-]\nNachlade- und Ziehgeschwindigkeit [decea3]+20%[-]"
actionPerkArchery5,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+25%[-]\nKopfschuss-Schaden [decea3]+50%[-]\nAuflade- und Ziehgeschwindigkeit [decea3]+25%[-]"
actionPerkSpears,"Speere"
actionPerkSpearsLevelUp,"Deine Fertigkeit [decea3]Speere[-] hat sich verbessert!"
actionPerkSpears1,"Schaden, Verstümmelung [decea3]+5%[-]\nWurfstärke [decea3]+5%[-]\nKopfschuss-Schaden [decea3]+10%[-]"
actionPerkSpears2,"Schaden, Verstümmelung [decea3]+10%[-]\nWurfstärke [decea3]+10%[-]\nKopfschuss-Schaden [decea3]+20%[-]"
actionPerkSpears3,"Schaden, Verstümmelung [decea3]+15%[-]\nWurfstärke [decea3]+15%[-]\nKopfschuss-Schaden [decea3]+30%[-]"
actionPerkSpears4,"Schaden, Verstümmelung [decea3]+20%[-]\nWurfstärke [decea3]+20%[-]\nKopfschuss-Schaden [decea3]+40%[-]"
actionPerkSpears5,"Schaden, Verstümmelung [decea3]+25%[-]\nWurfstärke [decea3]+25%[-]\nKopfschuss-Schaden [decea3]+50%[-]"
actionPerkLockPicking,"Schlossknacken"
actionPerkLockpickingDesc,"Verbessert Eure Fertigkeit, Schlösser zu knacken, und erhöht die Geschwindigkeit, mit der Ihr ein Schloss knacken könnt, um bis zu [decea3]50%[-]. Knackt Schlösser mit Dietrichen, um diese Fertigkeit zu verbessern."
actionPerkLockPickingLevelUp,"Deine Fertigkeit [decea3]Schlossknacken[-] hat sich verbessert!"
actionPerkLockPicking1,"[decea3]+20[-] Schlossknacken\n Haarnadeln haben [decea3]20%[-] mehr Haltbarkeit"
actionPerkLockPicking2,"[decea3]+40[-] Schlossknacken\nDietriche und Haarnadeln haben [decea3]40%[-] mehr Haltbarkeit"
actionPerkLockPicking3,"[decea3]+60[-] Schlossknacken\nDietriche und Haarnadeln haben [decea3]60%[-] mehr Haltbarkeit"
actionPerkLockPicking4,"[decea3]+80[-] Schlossknacken\nDietriche and Haarnadeln haben [decea3]80%[-] mehr Haltbarkeit"
actionPerkLockPicking5,"[decea3]+100[-] Schlossknacken \nDietriche and Haarnadeln haben [decea3]100%[-] mehr Haltbarkeit"
actionPerkLooting,"Plündern"
actionPerkLootingLevelUp,"Deine Fertigkeit [decea3]Plündern[-] hat sich verbessert!"
actionPerkLooting1,"Plündergeschwindigkeit [decea3]+10%[-]\nBeute-Spielstufe [decea3]+5%[-]"
actionPerkLooting2,"Plündergeschwindigkeit [decea3]+20%[-]\nBeute-Spielstufe [decea3]+10%[-]"
actionPerkLooting3,"Plündergeschwindigkeit [decea3]+30%[-]\nBeute-Spielstufe [decea3]+15%[-]"
actionPerkLooting4,"Plündergeschwindigkeit [decea3]+40%[-]\nBeute-Spielstufe [decea3]+20%[-]"
actionPerkLooting5,"Plündergeschwindigkeit [decea3]+50%[-]\nBeute-Spielstufe [decea3]+25%[-]"
actionPerkButcher,"Tiere zerlegen"
actionPerkButcherLevelUp,"Deine Fertigkeit [decea3]Tiere zerlegen[-] hat sich verbessert!"
actionPerkButcher1,"Ressourcen beim Zerlegen von Tieren[decea3]+50%[-]"
actionPerkButcher2,"Ressourcen beim Zerlegen von Tieren[decea3]+50%[-]"
actionPerkButcher3,"Ressourcen beim Zerlegen von Tieren[decea3]+50%[-]"
actionPerkButcher4,"Ressourcen beim Zerlegen von Tieren[decea3]+50%[-]"
