Key,polish
perkTheHuntsman3,"Narzędzia i broń z ostrzem zbierają o [decea3]30%[-] więcej zasobów ze zwłok zwierząt"
perkTheHuntsman4,"Narzędzia i broń z ostrzem zbierają o [decea3]40%[-] więcej zasobów ze zwłok zwierząt"
perkTheHuntsman5,"Narzędzia i broń z ostrzem zbierają o [decea3]50%[-] więcej zasobów ze zwłok zwierząt"
attActionSkillsDesc,"Poziom Umiejętności Akcji podnosi się pasywnie podczas wykonywania odpowiednich akcji.\n\nRóżne zadania podniosą poziom odpowiednich Umiejętności Akcji, na przykład używanie odpowiedniej broni, wykonywanie aktywności fizycznycj itp.\n\nWybierz Umiejętność Akcj by sprawdzić jej aktualny progres."
actionPerkDesc,"[decea3]Umiejętność Akcji[-]: Poziom podnosi się sam podczas wykonywania odpowiednich akcji, lub przez czytanie książeczek przypisanych do umiejętności.\n\n"
actionPerkSniperRifles,"Karabiny Snajperskie"
actionPerkSniperRifles1,"Obrażenia, Celność, Rozczłonkowanie [decea3]+5%[-]\nObrażenia w głowę [decea3]+10%[-]\nSzybkość Przeładowania [decea3]+2%[-]\n[decea3]Odblokowywuje możliwość wytwarzania amunicji grzybkującej 7.92mm[-]"
actionPerkSniperRifles2,"Obrażenia, Celność, Rozczłonkowanie [decea3]+10%[-]\nObrażenia w głowę [decea3]+20%[-]\nSzybkość Przeładowania [decea3]+4%[-]\n[decea3]Odblokowywuje możliwość wytwarzania amunicji przeciwpancernej 7.92mm[-]"
actionPerkSniperRifles3,"Obrażenia, Celność, Rozczłonkowanie [decea3]+15%[-]\nObrażenia w głowę [decea3]+30%[-]\nSzybkość Przeładowania [decea3]+6%[-]"
actionPerkSniperRifles4,"Obrażenia, Celność, Rozczłonkowanie [decea3]+20%[-]\nObrażenia w głowę [decea3]+40%[-]\nSzybkość Przeładowania [decea3]+8%[-]"
actionPerkSniperRifles5,"Obrażenia, Celność, Rozczłonkowanie [decea3]+25%[-]\nObrażenia w głowę [decea3]+50%[-]\nSzybkość Przeładowania [decea3]+10%[-]"
actionPerkArchery,"Łuki i Kusze"
actionPerkArchery1,"Obrażenia, Celność, Rozczłonkowanie [decea3]+5%[-]\nObrażenia w głowę [decea3]+10%[-]\nPrędkość Naciągu i Przeładowania [decea3]+5%[-]"
actionPerkArchery2,"Obrażenia, Celność, Rozczłonkowanie [decea3]+10%[-]\nObrażenia w głowę [decea3]+20%[-]\nPrędkość Naciągu i Przeładowania [decea3]+10%[-]"
actionPerkArchery3,"Obrażenia, Celność, Rozczłonkowanie [decea3]+15%[-]\nObrażenia w głowę [decea3]+30%[-]\nPrędkość Naciągu i Przeładowania [decea3]+15%[-]"
actionPerkArchery4,"Obrażenia, Celność, Rozczłonkowanie [decea3]+20%[-]\nObrażenia w głowę [decea3]+40%[-]\nPrędkość Naciągu i Przeładowania [decea3]+20%[-]"
actionPerkArchery5,"Obrażenia, Celność, Rozczłonkowanie [decea3]+25%[-]\nObrażenia w głowę [decea3]+50%[-]\nPrędkość Naciągu i Przeładowania [decea3]+25%[-]"
actionPerkSpears,"Włócznie"
actionPerkSpears1,"Obrażenia, Rozczłonkowanie [decea3]+5%[-]\nSiła Rzutu [decea3]+5%[-]\nObrażenia w głowę [decea3]+10%[-]"
actionPerkSpears2,"Obrażenia, Rozczłonkowanie [decea3]+10%[-]\nSiła Rzutu [decea3]+10%[-]\nObrażenia w głowę [decea3]+20%[-]"
actionPerkSpears3,"Obrażenia, Rozczłonkowanie [decea3]+15%[-]\nSiła Rzutu [decea3]+15%[-]\nObrażenia w głowę [decea3]+30%[-]"
actionPerkSpears4,"Obrażenia, Rozczłonkowanie [decea3]+20%[-]\nSiła Rzutu [decea3]+20%[-]\nObrażenia w głowę [decea3]+40%[-]"
actionPerkSpears5,"Obrażenia, Rozczłonkowanie [decea3]+25%[-]\nSiła Rzutu [decea3]+25%[-]\nObrażenia w głowę [decea3]+50%[-]"
actionPerkLockPicking,"Otwieranie Zamków"
actionPerkLockpickingDesc,"Zwiększa twoją umiejętność otwierania zamków, zwiększając szybkość z jaką je otwierasz do 50%. Otwierar zamki by zwiększyć umiejętność."
actionPerkLockPicking1,"[decea3]+20[-] do Otwierania Zamków\nSpinki i Wytrychy są o [decea3]20%[-] wytrzymalsze"
actionPerkLockPicking2,"[decea3]+40[-] do Otwierania Zamków\nSpinki i Wytrychy są o [decea3]40%[-] wytrzymalsze"
actionPerkLockPicking3,"[decea3]+60[-] do Otwierania Zamków\nSpinki i Wytrychy są o [decea3]60%[-] wytrzymalsze"
actionPerkLockPicking4,"[decea3]+80[-] do Otwierania Zamków\nSpinki i Wytrychy są o [decea3]80%[-] wytrzymalsze"
actionPerkLockPicking5,"[decea3]+100[-] do Otwierania Zamków\nSpinki i Wytrychy są o [decea3]100%[-] wytrzymalsze"
actionPerkLooting,"Szabrowanie"
actionPerkLooting1,"Prędkość szabrowania [decea3]+8%[-]\nJakość łupów [decea3]+5%[-]"
actionPerkLooting2,"Prędkość szabrowania [decea3]+16%[-]\nJakość łupów [decea3]+10%[-]"
actionPerkLooting3,"Prędkość szabrowania [decea3]+24%[-]\nJakość łupów [decea3]+15%[-]"
actionPerkLooting4,"Prędkość szabrowania [decea3]+32%[-]\nJakość łupów [decea3]+20%[-]"
actionPerkLooting5,"Prędkość szabrowania [decea3]+40%[-]\nJakość łupów [decea3]+25%[-]"
actionPerkButcher,"Obróbka Zwierzyny"
actionPerkButcher1,"Zasoby zebrane ze zwierzyny [decea3]+10%[-]"
actionPerkButcher2,"Zasoby zebrane ze zwierzyny [decea3]+20%[-]"
actionPerkButcher3,"Zasoby zebrane ze zwierzyny [decea3]+30%[-]"
actionPerkButcher4,"Zasoby zebrane ze zwierzyny [decea3]+40%[-]"
actionPerkButcher5,"Zasoby zebrane ze zwierzyny [decea3]+50%[-]"
attStrengthName,"Siła"
attStrengthDesc,"Opanuj umiejętności [decea3]Siły[-] szybciej, zwiększ obrażenia w głowę i szansę rozczłonkowanie dla: [decea3]Karabinów Maszynowych[-], [decea3]Pałek[-] i [decea3]Młotów[-]"
attStrengthDesc01,"PD Umiejętności [decea3]+10%[-]\nObrażenia w głowę [decea3]+5%[-]\nSzansa rozczłonkowania [decea3]+2.5%[-]"
attStrengthDesc02,"PD Umiejętności [decea3]+20%[-]\nObrażenia w głowę [decea3]+10%[-]\nSzansa rozczłonkowania [decea3]+5%[-]"
attStrengthDesc03,"PD Umiejętności [decea3]+30%[-]\nObrażenia w głowę [decea3]+15%[-]\nSzansa rozczłonkowania [decea3]+7.5%[-]"
attStrengthDesc04,"PD Umiejętności [decea3]+40%[-]\nObrażenia w głowę [decea3]+20%[-]\nSzansa rozczłonkowania [decea3]+10%[-]"
attStrengthDesc05,"PD Umiejętności [decea3]+50%[-]\nObrażenia w głowę [decea3]+25%[-]\nSzansa rozczłonkowania [decea3]+12.5%[-]"
attStrengthDesc06,"PD Umiejętności [decea3]+60%[-]\nObrażenia w głowę [decea3]+30%[-]\nSzansa rozczłonkowania [decea3]+15%[-]"
attStrengthDesc07,"PD Umiejętności [decea3]+70%[-]\nObrażenia w głowę [decea3]+35%[-]\nSzansa rozczłonkowania [decea3]+17.5%[-]"
attStrengthDesc08,"PD Umiejętności [decea3]+80%[-]\nObrażenia w głowę [decea3]+40%[-]\nSzansa rozczłonkowania [decea3]+20%[-]"
attStrengthDesc09,"PD Umiejętności [decea3]+90%[-]\nObrażenia w głowę [decea3]+45%[-]\nSzansa rozczłonkowania [decea3]+22.5%[-]"
attStrengthDesc10,"PD Umiejętności [decea3]+100%[-]\nObrażenia w głowę [decea3]+50%[-]\nSzansa rozczłonkowania [decea3]+25%[-]"
skillStrengthGeneralName,"Mięśnie"
skillStrengthConstructionName,"Górnictwo"
perkMachineGunner1,"Karabiny maszynowe zadają więcej obrażeń, są ładowane i strzelają szybciej o [decea3]5%[-]"
perkMachineGunner2,"Karabiny maszynowe zadają więcej obrażeń, są ładowane i strzelają szybciej o [decea3]10%[-]"
perkMachineGunner3,"Karabiny maszynowe zadają więcej obrażeń, są ładowane i strzelają szybciej o [decea3]15%[-]\n\n[decea3]Adrenalina Komandosa:[-]\n  [decea3]+2[-] wytrzymałości za każde trafienie"
perkMachineGunner4,"Karabiny maszynowe zadają więcej obrażeń, są ładowany szybciej i strzelają szybciej o [decea3]20%[-]\n\n[decea3]Adrenalina Komandosa:[-]\n  [decea3]+4[-] wytrzymałości za każde trafienie"
perkMachineGunner5,"Karabiny maszynowe zadają więcej obrażeń, są ładowany szybciej i strzelają szybciej o [decea3]25%[-]\n\n[decea3]Adrenalina Komandosa:[-]\n  [decea3]+6[-] wytrzymałości za każde trafienie"
perkPummelPete1,"Pałki zadają [decea3]5%[-] więcej obrażeń, [decea3]10%[-] bonusowe obrażenia dla ogłuszonych wrogów, silne ataki mają [decea3]10%[-] szansę powalenia wrogów na ziemię"
perkPummelPete2,"Pałki zadają [decea3]10%[-] więcej obrażeń, [decea3]20%[-]bonusowe obrażenia dla ogłuszonych wrogów, silne ataki mają [decea3]20%[-] szansę powalenia wrogów na ziemię"
perkPummelPete3,"Pałki zadają [decea3]15%[-] więcej obrażeń, [decea3]30%[-]bonusowe obrażenia dla ogłuszonych wrogów, silne ataki mają [decea3]30%[-] szansę powalenia wrogów na ziemię. Każde [decea3]piąte[-] i kolejne uderzenie zadaje podwójne obrażenia"
perkPummelPete4,"Pałki zadają [decea3]20%[-] więcej obrażeń, [decea3]40%[-]bonusowe obrażenia dla ogłuszonych wrogów, silne ataki mają [decea3]40%[-] szansę powalenia wrogów na ziemię. Every [decea3]czwarte[-] i kolejne uderzenie zadaje podwójne obrażenia"
perkPummelPete5,"Pałki zadają [decea3]25%[-] więcej obrażeń, [decea3]50%[-]bonusowe obrażenia dla ogłuszonych wrogów, silne ataki mają [decea3]50%[-] szansę powalenia wrogów na ziemię. Every [decea3]trzecie[-] i kolejne uderzenie zadaje podwójne obrażenia"
perkSkullCrusher1,"Młoty zadają [decea3]5%[-]Więcej obrażeń. Silne ataki mają [decea3]10%[-] szans na powalenie przeciwnika"
perkSkullCrusher2,"Młoty zadają [decea3]10%[-]Więcej obrażeń. Silne ataki mają [decea3]20%[-] szans na powalenie przeciwnika"
perkSkullCrusher3,"Młoty zadają [decea3]15%[-]Więcej obrażeń. Silne ataki mają [decea3]30%[-] szans na powalenie przeciwnika i [decea3]10%[-] szans na powalenie pobliskich wrogów"
perkSkullCrusher4,"Młoty zadają [decea3]20%[-]Więcej obrażeń. Silne ataki mają [decea3]40%[-] szans na powalenie przeciwnika i [decea3]20%[-] szans na powalenie pobliskich wrogów"
perkSkullCrusher5,"Młoty zadają [decea3]25%[-]Więcej obrażeń. Silne ataki mają [decea3]50%[-] szans na powalenie przeciwnika i [decea3]30%[-] szans na powalenie pobliskich wrogów"
perkMiner69r1,"Siekiery, kilofy, piły, wiertła i inne narzędzia wydobywcze zadają [decea3]10%[-] więcej obrażeń"
perkMiner69r2,"Siekiery, kilofy, piły, wiertła i inne narzędzia wydobywcze zadają [decea3]20%[-] więcej obrażeń"
perkMiner69r3,"Siekiery, kilofy, piły, wiertła i inne narzędzia wydobywcze zadają [decea3]30%[-] więcej obrażeń"
perkMiner69r4,"Siekiery, kilofy, piły, wiertła i inne narzędzia wydobywcze zadają [decea3]40%[-] więcej obrażeń"
perkMiner69r5,"Siekiery, kilofy, piły, wiertła i inne narzędzia wydobywcze zadają [decea3]50%[-] więcej obrażeń"
perkMotherLode1,"Siekiery, kilofy, piły, wiertła i inne narzędzia wydobywcze uzyskują [decea3]10%[-] więcej rudy, kamienia, ziemi i drewna"
perkMotherLode2,"Siekiery, kilofy, piły, wiertła i inne narzędzia wydobywcze uzyskują [decea3]20%[-] więcej rudy, kamienia, ziemi i drewna"
perkMotherLode3,"Siekiery, kilofy, piły, wiertła i inne narzędzia wydobywcze uzyskują [decea3]30%[-] więcej rudy, kamienia, ziemi i drewna"
perkMotherLode4,"Siekiery, kilofy, piły, wiertła i inne narzędzia wydobywcze uzyskują [decea3]40%[-] więcej rudy, kamienia, ziemi i drewna"
perkMotherLode5,"Siekiery, kilofy, piły, wiertła i inne narzędzia wydobywcze uzyskują [decea3]50%[-] więcej rudy, kamienia, ziemi i drewna"
perkPackMule1,"Zwiększa pojemność twojego plecaka o [decea3]20[-] jednostek"
perkPackMule2,"Zwiększa pojemność twojego plecaka o [decea3]40[-] jednostek"
perkPackMule3,"Zwiększa pojemność twojego plecaka o [decea3]60[-] jednostek"
perkPackMule4,"Zwiększa pojemność twojego plecaka o [decea3]80[-] jednostek"
perkPackMule5,"Zwiększa pojemność twojego plecaka o [decea3]100[-] jednostek"
actionPerkStrength,"Dźwiganie Ciężarów"
actionPerkStrength1,"Zwiększa pojemność twojego plecaka o [decea3]20[-] jednostek"
actionPerkStrength2,"Zwiększa pojemność twojego plecaka o [decea3]40[-] jednostek"
actionPerkStrength3,"Zwiększa pojemność twojego plecaka o [decea3]60[-] jednostek"
actionPerkStrength4,"Zwiększa pojemność twojego plecaka o [decea3]80[-] jednostek"
actionPerkStrength5,"Zwiększa pojemność twojego plecaka o [decea3]100[-] jednostek"
actionPerkAssaultRifles,"Karabiny Maszynowe"
actionPerkAssaultRifles1,"Obrażenia, Celność, Rozczłonkowanie [decea3]+5%[-]\nObrażenia w głowę [decea3]+10%[-]\nSzybkość Przeładowania [decea3]+2%[-]\n[decea3]Odblokowywuje możliwość wytwarzania ammunicji grzybkującej 5.56mm[-]"
actionPerkAssaultRifles2,"Obrażenia, Celność, Rozczłonkowanie [decea3]+10%[-]\nObrażenia w głowę [decea3]+20%[-]\nSzybkość Przeładowania [decea3]+4%[-]\n[decea3]Odblokowywuje możliwość wytwarzania ammunicji przeciwpancernej 5.56mm[-]"
actionPerkAssaultRifles3,"Obrażenia, Celność, Rozczłonkowanie [decea3]+15%[-]\nObrażenia w głowę [decea3]+30%[-]\nSzybkość Przeładowania [decea3]+6%[-]"
actionPerkAssaultRifles4,"Obrażenia, Celność, Rozczłonkowanie [decea3]+20%[-]\nObrażenia w głowę [decea3]+40%[-]\nSzybkość Przeładowania [decea3]+8%[-]"
actionPerkAssaultRifles5,"Obrażenia, Celność, Rozczłonkowanie [decea3]+25%[-]\nObrażenia w głowę [decea3]+50%[-]\nSzybkość Przeładowania [decea3]+10%[-]"
actionPerkClubs,"Pałki"
actionPerkClubs1,"Obrażenia, Rozczłonkowanie [decea3]+5%[-]\nObrażenia w głowę [decea3]+10%[-]\nBonusowe obrażenia dla ogłuszonych celów [decea3]+10%[-]"
actionPerkClubs2,"Obrażenia, Rozczłonkowanie [decea3]+10%[-]\nObrażenia w głowę [decea3]+20%[-]\nBonusowe obrażenia dla ogłuszonych celów [decea3]+20%[-]"
actionPerkClubs3,"Obrażenia, Rozczłonkowanie [decea3]+15%[-]\nObrażenia w głowę [decea3]+30%[-]\nBonusowe obrażenia dla ogłuszonych celów [decea3]+30%[-]"
actionPerkClubs4,"Obrażenia, Rozczłonkowanie [decea3]+20%[-]\nObrażenia w głowę [decea3]+40%[-]\nBonusowe obrażenia dla ogłuszonych celów [decea3]+40%[-]"
actionPerkClubs5,"Obrażenia, Rozczłonkowanie [decea3]+25%[-]\nObrażenia w głowę [decea3]+50%[-]\nBonusowe obrażenia dla ogłuszonych celów [decea3]+50%[-]"
actionPerkSledgehammers,"Młoty"
actionPerkSledgehammers1,"Obrażenia, Rozczłonkowanie [decea3]+5%[-]\nExtra Obrażenia w głowę [decea3]+10%[-]\n"
actionPerkSledgehammers2,"Obrażenia, Rozczłonkowanie [decea3]+10%[-]\nExtra Obrażenia w głowę [decea3]+20%[-]\n"
actionPerkSledgehammers3,"Obrażenia, Rozczłonkowanie [decea3]+15%[-]\nExtra Obrażenia w głowę [decea3]+30%[-]\n"
actionPerkSledgehammers4,"Obrażenia, Rozczłonkowanie [decea3]+20%[-]\nExtra Obrażenia w głowę [decea3]+40%[-]\n"
actionPerkSledgehammers5,"Obrażenia, Rozczłonkowanie [decea3]+25%[-]\nExtra Obrażenia w głowę [decea3]+50%[-]\n"
actionPerkAxes,"Narzędzia do Drewna"
actionPerkAxes1,"Obrażenia [decea3]+10%[-]\nWydajność wydobycia [decea3]+10%[-]"
actionPerkAxes2,"Obrażenia [decea3]+20%[-]\nWydajność wydobycia [decea3]+20%[-]"
actionPerkAxes3,"Obrażenia [decea3]+30%[-]\nWydajność wydobycia [decea3]+30%[-]"
actionPerkAxes4,"Obrażenia [decea3]+40%[-]\nWydajność wydobycia [decea3]+40%[-]"
actionPerkAxes5,"Obrażenia [decea3]+50%[-]\nWydajność wydobycia [decea3]+50%[-]"
actionPerkShovels,"Narzędzia do Kopania"
actionPerkShovels1,"Obrażenia [decea3]+10%[-]\nWydajność wydobycia [decea3]+10%[-]"
actionPerkShovels2,"Obrażenia [decea3]+20%[-]\nWydajność wydobycia [decea3]+20%[-]"
actionPerkShovels3,"Obrażenia [decea3]+30%[-]\nWydajność wydobycia [decea3]+30%[-]"
actionPerkShovels4,"Obrażenia [decea3]+40%[-]\nWydajność wydobycia [decea3]+40%[-]"
actionPerkShovels5,"Obrażenia [decea3]+50%[-]\nWydajność wydobycia [decea3]+50%[-]"
actionPerkMining,"Narzędzia Górnicze"
actionPerkMiningDesc,"Jesteś co raz bardziej wyspecjalizowany w korzystaniu z narzędzi górniczych jak kilofy i inne. Używaj narzędzi górniczych by zwiększyć tą umiejętność."
actionPerkMiningEffect,"[decea3]+0.5%[-] Obrażenia dla bloków, [decea3]+0.2%[-] Szybkość Ataku, [decea3]-0.2%[-] Zużycie wytrzymałości."
actionPerkMining1,"Obrażenia [decea3]+10%[-]\nWydajność wydobycia [decea3]+10%[-]"
actionPerkMining2,"Obrażenia [decea3]+20%[-]\nWydajność wydobycia [decea3]+20%[-]"
actionPerkMining3,"Obrażenia [decea3]+30%[-]\nWydajność wydobycia [decea3]+30%[-]"
actionPerkMining4,"Obrażenia [decea3]+40%[-]\nWydajność wydobycia [decea3]+40%[-]"
actionPerkMining5,"Obrażenia [decea3]+50%[-]\nWydajność wydobycia [decea3]+50%[-]"
attFortitudeName,"Hart"
attFortitudeDesc,"Opanuj umiejętności [decea3]Hartu[-] szybciej, zwiększ obrażenia w głowę i szansę rozczłonkowania dla: [decea3]Strzalb[-], [decea3]Walki Pięściami[-] and [decea3]Broń Pięściarską[-]"
attFortitudeDesc01,"PD Umiejętności [decea3]+10%[-]\nObrażenia w głowę [decea3]+5%[-]\nSzansa rozczłonkowania [decea3]+2.5%[-]"
attFortitudeDesc02,"PD Umiejętności [decea3]+20%[-]\nObrażenia w głowę [decea3]+10%[-]\nSzansa rozczłonkowania [decea3]+5%[-]"
attFortitudeDesc03,"PD Umiejętności [decea3]+30%[-]\nObrażenia w głowę [decea3]+15%[-]\nSzansa rozczłonkowania [decea3]+7.5%[-]"
attFortitudeDesc04,"PD Umiejętności [decea3]+40%[-]\nObrażenia w głowę [decea3]+20%[-]\nSzansa rozczłonkowania [decea3]+10%[-]"
attFortitudeDesc05,"PD Umiejętności [decea3]+50%[-]\nObrażenia w głowę [decea3]+25%[-]\nSzansa rozczłonkowania [decea3]+12.5%[-]"
attFortitudeDesc06,"PD Umiejętności [decea3]+60%[-]\nObrażenia w głowę [decea3]+30%[-]\nSzansa rozczłonkowania [decea3]+15%[-]"
attFortitudeDesc07,"PD Umiejętności [decea3]+70%[-]\nObrażenia w głowę [decea3]+35%[-]\nSzansa rozczłonkowania [decea3]+17.5%[-]"
attFortitudeDesc08,"PD Umiejętności [decea3]+80%[-]\nObrażenia w głowę [decea3]+40%[-]\nSzansa rozczłonkowania [decea3]+20%[-]"
attFortitudeDesc09,"PD Umiejętności [decea3]+90%[-]\nObrażenia w głowę [decea3]+45%[-]\nSzansa rozczłonkowania [decea3]+22.5%[-]"
attFortitudeDesc10,"PD Umiejętności [decea3]+100%[-]\nObrażenia w głowę [decea3]+50%[-]\nSzansa rozczłonkowania [decea3]+25%[-]"
skillFortitudeSurvivalName,"Przetrwanie"
skillFortitudeRecoveryName,"Rekuperacja"
perkBoomstick1,"Strzelby zadają więcej obrażeń, strzelają i przeładowywane są szybciej o [decea3]5%[-]."
perkBoomstick2,"Strzelby zadają więcej obrażeń, strzelają i przeładowywane są szybciej o [decea3]10%[-]. Trafienia powodują oszołomienie do [decea3]4[-] sekund"
perkBoomstick3,"Strzelby zadają więcej obrażeń, strzelają i przeładowywane są szybciej o [decea3]15%[-]. Trafienia powodują oszołomienie do [decea3]6[-] sekund"
perkBoomstick4,"Strzelby zadają więcej obrażeń, strzelają i przeładowywane są szybciej o [decea3]20%[-]. Trafienia powodują oszołomienie do [decea3]8[-] sekund"
perkBoomstick5,"Strzelby zadają więcej obrażeń, strzelają i przeładowywane są szybciej o [decea3]25%[-]. Trafienia powodują oszołomienie do [decea3]8[-] sekund. [decea3]Strzały w nogi kaleczą wrogów[-]"
perkBrawler1,"Zadawaj [decea3]5%[-] więcej obrażeń pięściami i bronią pięściarską. Uderzenia w głowę negują możliwość złapania infekcji"
perkBrawler2,"Zadawaj [decea3]10%[-] więcej obrażeń pięściami i bronią pięściarską. Silne ataki mają [decea3]30%[-] szans na oszołomienie wroga"
perkBrawler3,"Zadawaj [decea3]15%[-] więcej obrażeń pięściami i bronią pięściarską. Silne ataki w głowę mają [decea3]20%[-] szans na powalenie wroga"
perkBrawler4,"Zadawaj [decea3]20%[-] więcej obrażeń pięściami i bronią pięściarską. Silne ataki w głowę mają [decea3]30%[-] szans na powalenie wroga"
perkBrawler5,"Zadawaj [decea3]25%[-] więcej obrażeń pięściami i bronią pięściarską. [decea3]20%[-] większa szanasa na dekapitacje wroga uderzeniami"
perkWellInsulated1,"Zyskujesz [decea3]+5[-] wytrzymałości na Gorąco i Zimno, utrata nasycenia i nawodnienia jest mniejsza o [decea3]15%[-] podczas marznięcia i przegrzania"
perkWellInsulated2,"Zyskujesz [decea3]+10[-] wytrzymałości na Gorąco i Zimno, utrata nasycenia i nawodnienia jest mniejsza o [decea3]30%[-] podczas marznięcia i przegrzania"
perkWellInsulated3,"Zyskujesz [decea3]+15[-] wytrzymałości na Gorąco i Zimno, nie odczuwasz już negatywnych efektów skrajnych temperatur"
perkPainTolerance1,"Zmniejsz utratę zdrowia o [decea3]4%[-] oraz zyskujesz [decea3]10%[-] odporności na oszołomienie"
perkPainTolerance2,"Zmniejsz utratę zdrowia o [decea3]8%[-] oraz zyskujesz [decea3]20%[-] odporności na oszołomienie"
perkPainTolerance3,"Zmniejsz utratę zdrowia o [decea3]12%[-] oraz zyskujesz [decea3]30%[-] odporności na oszołomienie"
perkPainTolerance4,"Zmniejsz utratę zdrowia o [decea3]16%[-] oraz zyskujesz [decea3]40%[-] odporności na oszołomienie"
perkPainTolerance5,"Zmniejsz utratę zdrowia o [decea3]20%[-] oraz zyskujesz [decea3]50%[-] odporności na oszołomienie"
perkPhysicianName,"Medyk Polowy"
perkPhysician1,"Przedmioty medyczne odnawiają o [decea3]10%[-] więcej zdrowia oraz dają o [decea3]40%[-] więcej PD przy ich użyciu"
perkPhysician2,"Przedmioty medyczne odnawiają o [decea3]20%[-] więcej zdrowia oraz dają o [decea3]60%[-] więcej PD przy ich użyciu"
perkPhysician3,"Przedmioty medyczne odnawiają o [decea3]30%[-] więcej zdrowia oraz dają o [decea3]80%[-] więcej PD przy ich użyciu"
perkPhysician4,"Przedmioty medyczne odnawiają o [decea3]50%[-] więcej zdrowia oraz dają o [decea3]100%[-] więcej PD przy ich użyciu"
actionPerkShotguns,"Strzelby"
actionPerkShotgunsDesc,"Używanie [decea3]Strzelb[-] jest szybsze, obrażenia i szybkostrzelność zostaje podniesiona o [decea3]25%[-]. Używaj strzelb by usprawnić tą umiejętność."
actionPerkShotgunsEffect,"Używanie [decea3]Shotgun[-] jest szybsze, szybkostrzelność i obrażenia podczas celowania zostają podniesione \no [decea3]0.25%[-]."
actionPerkShotguns1,"Obrażenia, Szybkostrzelność, Rozczłonkowanie [decea3]+5%[-]\nObrażenia w głowę [decea3]+10%[-]\nSzybkość Przeładowania [decea3]+2%[-]"
actionPerkShotguns2,"Obrażenia, Szybkostrzelność, Rozczłonkowanie [decea3]+10%[-]\nObrażenia w głowę [decea3]+20%[-]\nSzybkość Przeładowania [decea3]+4%[-]"
actionPerkShotguns3,"Obrażenia, Szybkostrzelność, Rozczłonkowanie [decea3]+15%[-]\nObrażenia w głowę [decea3]+30%[-]\nSzybkość Przeładowania [decea3]+6%[-]"
actionPerkShotguns4,"Obrażenia, Szybkostrzelność, Rozczłonkowanie [decea3]+20%[-]\nObrażenia w głowę [decea3]+40%[-]\nSzybkość Przeładowania [decea3]+8%[-]"
actionPerkShotguns5,"Obrażenia, Szybkostrzelność, Rozczłonkowanie [decea3]+25%[-]\nObrażenia w głowę [decea3]+50%[-]\nSzybkość Przeładowania [decea3]+10%[-]"
actionPerkBrawler,"Pięściarz"
actionPerkBrawler1,"Obrażenia, Rozczłonkowanie [decea3]+5%[-]\nObrażenia w głowę [decea3]+10%[-]"
actionPerkBrawler2,"Obrażenia, Rozczłonkowanie [decea3]+10%[-]\nObrażenia w głowę [decea3]+20%[-]"
actionPerkBrawler3,"Obrażenia, Rozczłonkowanie [decea3]+15%[-]\nObrażenia w głowę [decea3]+30%[-]"
actionPerkBrawler4,"Obrażenia, Rozczłonkowanie [decea3]+20%[-]\nObrażenia w głowę [decea3]+40%[-]"
actionPerkBrawler5,"Obrażenia, Rozczłonkowanie [decea3]+25%[-]\nObrażenia w głowę [decea3]+50%[-]"
actionPerkResistHeat,"Odporność na Gorąco"
actionPerkResistHeat1,"Odporność na Gorąco [decea3]+5[-]"
actionPerkResistHeat2,"Odporność na Gorąco [decea3]+10[-]"
actionPerkResistHeat3,"Odporność na Gorąco [decea3]+15[-]"
actionPerkResistHeat4,"Odporność na Gorąco [decea3]+20[-]"
actionPerkResistHeat5,"Odporność na Gorąco [decea3]+25[-]"
actionPerkResistCold,"Odporność na Zimno"
actionPerkResistCold1,"Odporność na Zimno [decea3]+5[-]"
actionPerkResistCold2,"Odporność na Zimno [decea3]+10[-]"
actionPerkResistCold3,"Odporność na Zimno [decea3]+15[-]"
actionPerkResistCold4,"Odporność na Zimno [decea3]+20[-]"
actionPerkResistCold5,"Cold resistance [decea3]+25[-]"
actionPerkResistPain,"Odporność na Ból"
actionPerkResistPain1,"Utrata zdrowia [decea3]-4%[-]\nOdporność na oszołomienie [decea3]+10%[-]"
actionPerkResistPain2,"Utrata zdrowia [decea3]-8%[-]\nOdporność na oszołomienie [decea3]+20%[-]"
actionPerkResistPain3,"Utrata zdrowia [decea3]-12%[-]\nOdporność na oszołomienie [decea3]+30%[-]"
actionPerkResistPain4,"Utrata zdrowia [decea3]-16%[-]\nOdporność na oszołomienie [decea3]+40%[-]"
actionPerkResistPain5,"Utrata zdrowia [decea3]-20%[-]\nOdporność na oszołomienie [decea3]+50%[-]"
actionPerkHealing,"Leczenie"
actionPerkHealingDesc,"Zwiększa max. Punkty Zdrowia o [decea3]50[-]. Używaj leków i przedmiotów medycznych by usprawnić tą umiejętność."
actionPerkHealingEffect,"Zwiększa max Punkty Zdrowia o [decea3]0.5[-]."
actionPerkHealing1,"Przedmioty medyczne są o [decea3]10%[-] bardziej efektywne"
actionPerkHealing2,"Przedmioty medyczne są o [decea3]20%[-] bardziej efektywne"
actionPerkHealing3,"Przedmioty medyczne są o [decea3]30%[-] bardziej efektywne"
actionPerkHealing4,"Przedmioty medyczne są o [decea3]40%[-] bardziej efektywne"
actionPerkHealing5,"Przedmioty medyczne są o [decea3]50%[-] bardziej efektywne"
attAgilityName,"Zręczność"
