Key,schinese
ulmToolBoneSaw,骨锯
ulmToolBoneSawDesc,一种用于将动物尸体切割成小块的粗糙骨锯。
ulmMeleeAxeCarpenters,木匠斧
ulmMeleeAxeCarpentersDesc,对树木的伤害提高[decea3] +200％[-]
ulmToolFryingPan,平底锅
ulmToolFryingPanDesc,一个旧的煎锅。用作武器非常沉重且不平稳，但如果这是唯一可用的武器，它能救你的命。
ulmToolHammerWood,木锤
ulmToolHammerWoodDesc,木工用最基本的木锤。可用于升级或修复块。
ulmToolJackhammer,手提钻
ulmToolJackhammerDesc,对矿石和沥青的破坏提高 [decea3] +200％[-]。将其指向岩石或混凝土，并保持稳定以在几秒钟内将其粉碎！
ulmToolJackhammerBlueprint,手提钻
ulmToolJackhammerBlueprintDesc,让你学习新的制作配方。如果已学会，则在使用时给予经验。
ulmToolMoldBrick,砖模
ulmToolMoldBrickDesc,用于将粘土成型为砖的模具。
ulmToolMoldGlass,平板模具
ulmToolMoldGlassDesc,液态沙子、玻璃或金属凝固成固体板的模具。
ulmToolMoldIngot,铸锭模具
ulmToolMoldIngotDesc,将液态金属凝固成锭的模具。
ulmToolPickaxeIceBreaker,破冰镐
ulmToolPickaxeIceBreakerDesc,对矿石和沥青的破坏提高 [decea3] 100％[-]。通常这种工具是用来破冰的，但据说也可以用来开采一些岩石或矿石。
ulmToolPickaxeScrapIron,废镐
ulmToolPickaxeScrapIronDesc,对矿石和沥青的破坏提高 [decea3] 100％[-]。形状粗糙的废铁片，尖头类似于镐头，耐用性值得怀疑。
ulmToolPickaxeStone,石镐
ulmToolPickaxeStoneDesc,对矿石和沥青的破坏提高 [decea3] +100％[-]。用石头砸石头似乎不符合逻辑，但凭借蛮力和运气，你也许能用这种非常原始的采矿工具开采出一些石头。
ulmToolPickaxeTitanium,钛镐
ulmToolPickaxeTitaniumDesc,对矿石和沥青的伤害增加[decea3]+100%[-]。由非常耐用的钛金属制成，主要用于开采岩石或矿石。
ulmToolPickaxeTitaniumBlueprint,钛镐
ulmToolPickaxeTitaniumBlueprintDesc,允许你学习新的制作配方。如果已经学会，使用时可获得XP。
ulmToolSaw,锯
ulmToolSawDesc,它几乎不能砍柴，但可能仍然有用。
ulmToolShovelScrapIron,废铲
ulmToolShovelScrapIronDesc,由各种废铁碎屑组装而成。比一块用绳子绑在棍子上的石头要好。
ulmToolShovelTitanium,钛铲
ulmToolShovelTitaniumDesc,挖掘泥土，沙子或雪地的最豪华的工具。
ulmQualityUnlocksGroupDesc,一组研究数据，用于提高你的制作技能并在此类别中制作更高品质的物品。\n\n[decea3]使用前必须先学会此研究的上一级！[-]
ulmDebuffEncumbered,超重
ulmDebuffEncumberedDesc,你所携带的东西超出了身体和装备所能承受的范围。超重时，你的活动能力和跳跃力量将逐渐减弱，继续超重的话影响更大。对身体的压力过大会导致长期问题，因此要小心。
ulmBuffHercules,大力士
ulmBuffHerculesDesc,你携带更多物品的能力增加了[decea3]200[-]。\n与[decea3]类固醇[-]效果叠加。
ulmBuffHoldHeavyWeapon,重型武器
ulmBuffHoldHeavyWeaponDesc,你手持重型武器，移动和跳跃能力降低[decea3]25%[-]
ulmBuffHoldMovementSpeed10,加速
ulmBuffHoldMovementSpeed10Desc,你拿着武器，走路和跑步速度提高[decea3] 10％[-]
attbooks,收藏
skillCombatPerksName,战斗
skillAgilityAthleticsName,体质
skillAgilityStealthName,潜行
skillIntellectInfluenceName,影响力
skillIntellectCraftsmanshipName,搜刮
ulm_AttAttributes,天赋树
ulm_AttAttributesDesc,\n\n\n\n\n\n\n\n\n\n\n选择右侧的一项技能以查看有关此技能的更多详细信息
ulm_skill_placeholder,技能不可用
ulmAttributes,主动技能
attActionSkills,行动技能
ulmBooks,收藏家
reqSkillPoints1,1个技能点
reqSkillPoints2,2个技能点
reqSkillPoints3,3个技能点
actionPerkTipExp,经验值
actionPerkTipExpLong,当前经验
actionPerkTipExpNext,下一个
actionPerkTipExpNextLong,升级经验
actionSkillDeathPenalty,你失忆了，因此你的一些\n[decea3]行动技能[-]降了一级
attPerceptionName,感知
attPerceptionDesc,更快掌握[decea3]感知[-]技能，提高爆头伤害和肢解机率：[decea3]狩猎步枪[-]，[decea3]狙击步枪[-]，[decea3]弓[-]，[decea3]弩[ -]和[decea3]矛[-]
attPerceptionDesc01,技能经验值[decea3] +10％[-] \n爆头伤害[decea3] +5％[-] \n肢解几率[decea3] +2.5％[-]
attPerceptionDesc02,技能经验值[decea3] +20％[-] \n爆头伤害[decea3] +10％[-] \n肢解几率[decea3] +5％[-]
attPerceptionDesc03,技能经验值[decea3] +30％[-] \n爆头伤害[decea3] +15％[-] \n肢解几率[decea3] +7.5％[-]
attPerceptionDesc04,技能经验值[decea3] +40％[-] \n爆头伤害[decea3] +20％[-] \n肢解几率[decea3] +10％[-]
attPerceptionDesc05,技能经验值[decea3] +50％[-] \n爆头伤害[decea3] +25％[-] \n肢解几率[decea3] +12.5％[-]
attPerceptionDesc06,技能经验值[decea3] +60％[-] \n爆头伤害[decea3] +30％[-] \n肢解几率[decea3] +15％[-]
attPerceptionDesc07,技能经验值[decea3] +70％[-] \n爆头伤害[decea3] +35％[-] \n肢解几率[decea3] +17.5％[-]
attPerceptionDesc08,技能经验值[decea3] +80％[-] \n爆头伤害[decea3] +40％[-] \n肢解几率[decea3] +20％[-]
attPerceptionDesc09,技能经验值[decea3] +90％[-] \n爆头伤害[decea3] +45％[-] \n肢解几率[decea3] +22.5％[-]
attPerceptionDesc10,技能经验值[decea3] +100％[-] \n爆头伤害[decea3] +50％[-] \n肢解几率[decea3] +25％[-]
skillPerceptionGeneralName,狩猎
skillPerceptionScavengingName,搜刮
perkDeadEye1,猎枪和狙击步枪的伤害和瞄准精度提高[decea3] 5％[-]，装填速度加快[decea3] 4％[-]
perkDeadEye2,猎枪和狙击步枪的伤害和瞄准精度提高[decea3] 10％[-]，装填速度加快[decea3] 8％[-]
perkDeadEye3,猎枪和狙击步枪的伤害和瞄准精度提高[decea3] 15％[-]，装填速度加快[decea3] 12％[-]。瞄准时体力消耗减少[decea3] 10％[-]，而成功击杀可以触发最多[decea3] 30％[-]的连击伤害
perkDeadEye4,猎枪和狙击步枪的伤害和瞄准精度提高[decea3] 20％[-]，装填速度加快[decea3] 16％[-]。瞄准时体力消耗减少[decea3] 20％[-]，而成功击杀可以触发最多[decea3] 40％[-]的连击伤害
perkDeadEye5,猎枪和狙击步枪的伤害和瞄准精度提高[decea3] 25％[-]，装填速度加快[decea3] 20％[-]。瞄准时体力消耗减少[decea3] 30％[-]，而成功击杀可以触发最多[decea3] 50％[-]的连击伤害
perkArchery1,弓弩的伤害，瞄准精度，抽箭和装弹速度提高[decea3] 5％[-]
perkArchery2,弓弩的伤害，瞄准精度，抽箭和装弹速度提高[decea3] 10％[-]
perkArchery3,弓弩的伤害，瞄准精度，抽箭和装弹速度提高[decea3] 15％[-]
perkArchery4,弓弩的伤害，瞄准精度，抽箭和装弹速度提高[decea3] 20％[-]
perkArchery5,弓弩的伤害，瞄准精度，抽箭和装弹速度提高[decea3] 25％[-]
perkJavelinMaster1,长矛和标枪造成的伤害提高[decea3] 5％[-]，投掷的力量增加[decea3] 5％[-]
perkJavelinMaster2,长矛和标枪造成的伤害提高[decea3] 10％[-]，投掷的力量增加[decea3] 10％[-]
perkJavelinMaster3,长矛和标枪造成的伤害提高[decea3] 15％[-]，投掷的力量提高[decea3] 15％[-]
perkJavelinMaster4,长矛和标枪造成的伤害提高[decea3] 20％[-]，投掷的力量增加[decea3] 20％[-]
perkJavelinMaster5,长矛和标枪造成的伤害提高[decea3] 25％[-]，投掷的力量提高[decea3] 25％[-]
perkLockPicking1,开锁技能提高[decea3] 25[-]\n发夹的耐久提高[decea3] 20％[-]
perkLockPicking2,开锁技能提高[decea3] 50[-]\n发夹的耐久提高[decea3] 40％[-]
perkLockPicking3,开锁技能提高[decea3] 75[-]\n发夹的耐久提高[decea3] 60％[-]
perkLockPicking4,开锁技能提高[decea3] 100[-]\n发夹的耐久提高[decea3] 80％[-]
perkTheHuntsman1,带刃工具或武器从动物尸体收集资源多[decea3] 10％[-]
perkTheHuntsman2,带刃工具或武器从动物尸体收集资源多[decea3] 20％[-]
perkTheHuntsman3,带刃工具或武器从动物尸体收集资源多[decea3] 30％[-]
perkTheHuntsman4,带刃工具或武器从动物尸体收集资源多[decea3] 40％[-]
perkTheHuntsman5,带刃工具或武器从动物尸体收集资源多[decea3] 50％[-]
attActionSkillsDesc,行动技能在执行各种任务时可被动提升。\n\n不同的任务会提升不同的行动技能，例如，如果你使用某种武器，进行某种身体活动等。\n\n选择任何一项行动技能，以查看其当前的技能进展。
actionPerkDesc,[decea3]行动技能[-]：当执行某种任务或找到并阅读与该技能相关的特殊技能书时，等级会自行提高。\n\n
actionPerkSniperRifles,狙击步枪
actionPerkSniperRiflesLevelUp,你的[decea3]狙击步枪[-]技能提高了!
actionPerkSniperRifles1,伤害，瞄准精度，肢解[decea3] +5％[-] \n爆头伤害[decea3] +10％[-] \n装弹速度[decea3] +2％[-][decea3]解锁7.92mm空心弹制作[-]
actionPerkSniperRifles2,伤害，瞄准精度，肢解[decea3] +10％[-] \n爆头伤害[decea3] +20％[-] \n装弹速度[decea3] +4％[-][decea3]解锁7.92mm穿甲弹制作[-]
actionPerkSniperRifles3,伤害，瞄准精度，肢解[decea3] +15％[-] \n爆头伤害[decea3] +30％[-] \n装弹速度[decea3] +6％[-]
actionPerkSniperRifles4,伤害，瞄准精度，肢解[decea3] +20％[-] \n爆头伤害[decea3] +40％[-] \n装弹速度[decea3] +8％[-]
actionPerkSniperRifles5,伤害，瞄准精度，肢解[decea3] +25％[-] \n爆头伤害[decea3] +50％[-] \n装弹速度[decea3] +10％[-]
actionPerkArchery,弓弩
actionPerkArcheryLevelUp,你的[decea3]弓弩[-]技能提高了!
actionPerkArchery1,伤害，瞄准精度，肢解[decea3] +5％[-] \n爆头伤害[decea3] +10％[-] \n装弹和抽箭速度[decea3] +5％[-]
actionPerkArchery2,伤害，瞄准精度，肢解[decea3] +10％[-] \n爆头伤害[decea3] +20％[-] \n装弹和抽箭速度[decea3] +10％[-]
actionPerkArchery3,伤害，瞄准精度，肢解[decea3] +15％[-] \n爆头伤害[decea3] +30％[-] \n装弹和抽箭速度[decea3] +15％[-]
actionPerkArchery4,伤害，瞄准精度，肢解[decea3] +20％[-] \n爆头伤害[decea3] +40％[-] \n装弹和抽箭速度[decea3] +20％[-]
actionPerkArchery5,伤害，瞄准精度，肢解[decea3] +25％[-] \n爆头伤害[decea3] +50％[-] \n装弹和抽箭速度[decea3] +25％[-]
actionPerkSpears,长矛
actionPerkSpearsLevelUp,你的[decea3]长矛[-]技能提高了!
actionPerkSpears1,伤害，肢解[decea3] +5％[-] \n投掷强度[decea3] +5％[-] \n爆头伤害[decea3] +10％[-]
actionPerkSpears2,伤害，肢解[decea3] +10％[-] \n投掷强度[decea3] +10％[-] \n爆头伤害[decea3] +20％[-]
actionPerkSpears3,伤害，肢解[decea3] +15％[-] \n投掷强度[decea3] +15％[-] \n爆头伤害[decea3] +30％[-]
actionPerkSpears4,伤害，肢解[decea3] +20％[-] \n投掷强度[decea3] +20％[-] \n爆头伤害[decea3] +40％[-]
actionPerkSpears5,伤害，肢解[decea3] +25％[-] \n投掷强度[decea3] +25％[-] \n爆头伤害[decea3] +50％[-]
actionPerkLockPicking,开锁
actionPerkLockpickingDesc,提高你的开锁能力，使你的开锁速度提高到[decea3]50%[-]。用开锁工具撬锁来提高这个技能。
actionPerkLockPickingLevelUp,你的[decea3] 开锁 [-]技能提高了!
actionPerkLockPicking1,开锁技能提高[decea3] 20[-]\n开锁器和发夹的耐久提高[decea3] 20％[-]
actionPerkLockPicking2,开锁技能提高[decea3] 40[-]\n开锁器和发夹的耐久提高[decea3] 40％[-]
actionPerkLockPicking3,开锁技能提高[decea3] 60[-]\n开锁器和发夹的耐久提高[decea3] 60％[-]
actionPerkLockPicking4,开锁技能提高[decea3] 80[-]\n开锁器和发夹的耐久提高[decea3] 80％[-]
actionPerkLockPicking5,开锁技能提高[decea3] 100[-]\n开锁器和发夹的耐久提高[decea3] 100％[-]
actionPerkLooting,搜刮
actionPerkLootingLevelUp,你的[decea3]搜刮[-]技能提高了!
actionPerkLooting1,搜刮速度[decea3] +10％[-] \n搜刮游戏等级[decea3] +5％[-]
actionPerkLooting2,搜刮速度[decea3] +20％[-] \n搜刮游戏等级[decea3] +10％[-]
actionPerkLooting3,搜刮速度[decea3] +30％[-] \n搜刮游戏等级[decea3] +15％[-]
actionPerkLooting4,搜刮速度[decea3] +40％[-] \n搜刮游戏等级[decea3] +20％[-]
actionPerkLooting5,搜刮速度[decea3] +50％[-] \n搜刮游戏等级[decea3] +25％[-]
actionPerkButcher,动物解剖
actionPerkButcherLevelUp,你的[decea3]动物解剖[-]技能提高了!
actionPerkButcher1,动物尸体资源[decea3] +10％[-]
actionPerkButcher2,动物尸体资源[decea3] +20％[-]
actionPerkButcher3,动物尸体资源[decea3] +30％[-]
actionPerkButcher4,动物尸体资源[decea3] +40％[-]
actionPerkButcher5,动物尸体资源[decea3] +50％[-]
attStrengthName,力量
attStrengthDesc,更快地掌握[decea3]力量[-]技能，提高爆头伤害和肢解机率：[decea3]机枪[-]，[decea3]棍棒[-]和[decea3]大锤[-]
attStrengthDesc01,技能经验值[decea3] +10％[-] \n爆头伤害[decea3] +5％[-] \n肢解几率[decea3] +2.5％[-]
attStrengthDesc02,技能经验值[decea3] +20％[-] \n爆头伤害[decea3] +10％[-] \n肢解几率[decea3] +5％[-]
attStrengthDesc03,技能经验值[decea3] +30％[-] \n爆头伤害[decea3] +15％[-] \n肢解几率[decea3] +7.5％[-]
attStrengthDesc04,技能经验值[decea3] +40％[-] \n爆头伤害[decea3] +20％[-] \n肢解几率[decea3] +10％[-]
attStrengthDesc05,技能经验值[decea3] +50％[-] \n爆头伤害[decea3] +25％[-] \n肢解几率[decea3] +12.5％[-]
attStrengthDesc06,技能经验值[decea3] +60％[-] \n爆头伤害[decea3] +30％[-] \n肢解几率[decea3] +15％[-]
attStrengthDesc07,技能经验值[decea3] +70％[-] \n爆头伤害[decea3] +35％[-] \n肢解几率[decea3] +17.5％[-]
attStrengthDesc08,技能经验值[decea3] +80％[-] \n爆头伤害[decea3] +40％[-] \n肢解几率[decea3] +20％[-]
attStrengthDesc09,技能经验值[decea3] +90％[-] \n爆头伤害[decea3] +45％[-] \n肢解几率[decea3] +22.5％[-]
attStrengthDesc10,技能经验值[decea3] +100％[-] \n爆头伤害[decea3] +50％[-] \n肢解几率[decea3] +25％[-]
skillStrengthGeneralName,肌肉
skillStrengthConstructionName,矿业
perkMachineGunner1,机枪的伤害增加[decea3] 5％[-]，射击、装弹速度加快[decea3] 5％[-]
perkMachineGunner2,机枪的伤害增加[decea3] 10％[-]，射击、装弹速度加快[decea3] 10％[-]
perkMachineGunner3,机枪的伤害增加[decea3] 15％[-]，射击、装弹速度加快[decea3] 15％[-]\n\n[decea3]突击队肾上腺素：每次命中[-] \n[decea3] +2 [-]体力
perkMachineGunner4,机枪的伤害增加[decea3] 20％[-]，射击、装弹速度加快[decea3] 20％[-] \n\n[decea3]突击队肾上腺素：每次命中[-] \n[decea3] +4 [-]体力
perkMachineGunner5,机枪的伤害增加[decea3] 25％[-]，射击、装弹速度加快[decea3] 25％[-] \n\n[decea3]突击队肾上腺素：每次命中[-] \n[decea3] +6 [-]体力
perkPummelPete1,棍棒造成的伤害增加[decea3] 5％[-]，眩晕和强力攻击额外造成[decea3] 10％[-]伤害，有[decea3] 10％[-]几率将敌人击倒
perkPummelPete2,棍棒造成的伤害增加[decea3] 10％[-]，眩晕和强力攻击额外造成[decea3] 20％[-]伤害，有[decea3] 20％[-]几率将敌人击倒
perkPummelPete3,棍棒造成的伤害增加[decea3] 15％[-]，眩晕和强力攻击额外造成[decea3] 30％[-]伤害，有[decea3] 30％[-]几率将敌人击倒。每[decea3] 5 [-]次命中造成100％额外伤害
perkPummelPete4,棍棒造成的伤害增加[decea3] 20％[-]，眩晕和强力攻击额外造成[decea3] 40％[-]伤害，有[decea3] 40％[-]几率将敌人击倒。每[decea3] 4 [-]次命中造成100％额外伤害
perkPummelPete5,棍棒造成的伤害增加[decea3] 25％[-]，眩晕和强力攻击额外造成[decea3] 50％[-]伤害，有[decea3] 50％[-]几率将敌人击倒。每[decea3] 3 [-]次命中造成100％额外伤害
perkSkullCrusher1,大锤造成的伤害提高[decea3] 5％[-]。强力攻击有[Decea3] 10％[-]几率击倒敌人
perkSkullCrusher2,大锤造成的伤害提高[decea3] 10％[-]。强力攻击有[Decea3] 20％[-]几率击倒敌人
perkSkullCrusher3,大锤造成的伤害提高[decea3] 15％[-]。强力攻击有30％[-]几率击倒敌人，有[decea3] 10％[-]几率击倒附近敌人
perkSkullCrusher4,大锤造成的伤害提高[decea3] 20％[-]。强力攻击有40％[-]几率击倒敌人，[decea3] 20％[-]几率击倒附近敌人
perkSkullCrusher5,大锤造成的伤害提高[decea3] 25％[-]。强力攻击有[Decea3] 50％[-]几率击倒敌人，[decea3] 30％[-]几率击倒附近敌人
perkMiner69r1,斧头，镐，链锯，螺旋钻和其他采矿工具造成的伤害增加[decea3] 10％[-]
perkMiner69r2,斧头，镐，链锯，螺旋钻和其他采矿工具造成的伤害增加[decea3] 20％[-]
perkMiner69r3,斧头，镐，链锯，螺旋钻和其他采矿工具造成的伤害增加[decea3] 30％[-]
perkMiner69r4,斧头，镐，链锯，螺旋钻和其他采矿工具造成的伤害增加[decea3] 40％[-]
perkMiner69r5,斧头，镐，链锯，螺旋钻和其他采矿工具造成的伤害增加[decea3] 50％[-]
perkMotherLode1,斧头，镐，链锯，螺旋钻和其他采矿工具从矿石，石头，地形块和树木中的采集量增加[decea3] 10％[-]
perkMotherLode2,斧头，镐，链锯，螺旋钻和其他采矿工具从矿石，石头，地形块和树木中的采集量增加[decea3] 20％[-]
perkMotherLode3,斧头，镐，链锯，螺旋钻和其他采矿工具从矿石，石头，地形块和树木中的采集量增加[decea3] 30％[-]
perkMotherLode4,斧头，镐，链锯，螺旋钻和其他采矿工具从矿石，石头，地形块和树木中的采集量增加[decea3] 40％[-]
perkMotherLode5,斧头，镐，链锯，螺旋钻和其他采矿工具从矿石，石头，地形块和树木中的采集量增加[decea3] 50％[-]
perkPackMule1,使背包的货物容量增加[decea3] 20 [-]个单位
perkPackMule2,使背包的货物容量增加[decea3] 40 [-]个单位
perkPackMule3,使背包的货物容量增加[decea3] 60 [-]个单位
perkPackMule4,使背包的货物容量增加[decea3] 80 [-]个单位
perkPackMule5,将背包的货物容量增加[decea3] 100 [-]个单位
actionPerkStrength,举重
actionPerkStrengthLevelUp,你的[decea3]举重[-]技能提高了!
actionPerkStrength1,增加你的背包货物容量[decea3]20[-]单位
actionPerkStrength2,增加你的背包货物容量[decea3]40[-]单位
actionPerkStrength3,增加你的背包货物容量[decea3]60[-]单位
actionPerkStrength4,增加你的背包货物容量[decea3]80[-]单位
actionPerkStrength5,增加你的背包货物容量[decea3]100[-]单位
actionPerkAssaultRifles,机枪
actionPerkAssaultRiflesLevelUp,你的[decea3]机枪[-]技能提高了!
actionPerkAssaultRifles1,伤害，瞄准精度，肢解[decea3] +5％[-] \n爆头伤害[decea3] +10％[-] \n装弹速度[decea3] +2％[-][decea3]解锁5.56mm空心弹制作[-]
actionPerkAssaultRifles2,伤害，瞄准精度，肢解[decea3] +10％[-] \n爆头伤害[decea3] +20％[-] \n装弹速度[decea3] +4％[-][decea3]解锁5.56mm穿甲弹制作[-]
actionPerkAssaultRifles3,伤害，瞄准精度，肢解[decea3] +15％[-] \n爆头伤害[decea3] +30％[-] \n装弹速度[decea3] +6％[-]
actionPerkAssaultRifles4,伤害，瞄准精度，肢解[decea3] +20％[-] \n爆头伤害[decea3] +40％[-] \n装弹速度[decea3] +8％[-]
actionPerkAssaultRifles5,伤害，瞄准精度，肢解[decea3] +25％[-] \n爆头伤害[decea3] +50％[-] \n装弹速度[decea3] +10％[-]
actionPerkClubs,棍棒
actionPerkClubsLevelUp,你的[decea3] 棍棒 [-]技能提高了!
actionPerkClubs1,伤害，肢解[decea3] +5％[-] \n爆头伤害[decea3] +10％[-] \n对被击晕目标的额外伤害[decea3] +10％[-]
actionPerkClubs2,伤害，肢解[decea3] +10％[-] \n爆头伤害[decea3] +20％[-] \n击晕目标的额外伤害[decea3] +20％[-]
actionPerkClubs3,伤害，肢解[decea3] +15％[-] \n爆头伤害[decea3] +30％[-] \n击晕目标的额外伤害[decea3] +30％[-]
actionPerkClubs4,伤害，肢解[decea3] +20％[-] \n爆头伤害[decea3] +40％[-] \n击晕目标的额外伤害[decea3] +40％[-]
actionPerkClubs5,伤害，肢解[decea3] +25％[-] \n爆头伤害[decea3] +50％[-] \n击晕目标的额外伤害[decea3] +50％[-]
actionPerkSledgehammers,大锤
actionPerkSledgehammersLevelUp,你的[decea3]大锤[-]技能提高了!
actionPerkSledgehammers1,伤害，肢解[decea3] +5％[-] \n额外爆头伤害[decea3] +10％[-] \n
actionPerkSledgehammers2,伤害，肢解[decea3] +10％[-] \n额外爆头伤害[decea3] +20％[-] \n
actionPerkSledgehammers3,伤害，肢解[decea3] +15％[-] \n额外爆头伤害[decea3] +30％[-] \n
actionPerkSledgehammers4,伤害，肢解[decea3] +20％[-] \n额外爆头伤害[decea3] +40％[-] \n
actionPerkSledgehammers5,伤害，肢解[decea3] +25％[-] \n额外爆头伤害[decea3] +50％[-] \n
actionPerkAxes,伐木工具
actionPerkAxesLevelUp,你的[decea3]伐木工具[-]技能提高了!
actionPerkAxes1,伤害[decea3] +10％[-] \n收集效率[decea3] +10％[-]
actionPerkAxes2,伤害[decea3] +20％[-] \n收集效率[decea3] +20％[-]
actionPerkAxes3,伤害[decea3] +30％[-] \n收集效率[decea3] +30％[-]
actionPerkAxes4,伤害[decea3] +40％[-] \n收集效率[decea3] +40％[-]
actionPerkAxes5,伤害[decea3] +50％[-] \n收集效率[decea3] +50％[-]
actionPerkShovels,挖掘工具
actionPerkShovelsLevelUp,你的[decea3]挖掘工具[-]技能提高了!
actionPerkShovels1,伤害[decea3] +10％[-] \n收集效率[decea3] +10％[-]
actionPerkShovels2,伤害[decea3] +20％[-] \n收集效率[decea3] +20％[-]
actionPerkShovels3,伤害[decea3] +30％[-] \n收集效率[decea3] +30％[-]
actionPerkShovels4,伤害[decea3] +40％[-] \n收集效率[decea3] +40％[-]
actionPerkShovels5,伤害[decea3] +50％[-] \n收集效率[decea3] +50％[-]
actionPerkMining,采矿工具
actionPerkMiningDesc,你在使用与采矿有关的工具（如镐和铁镐）时变得更加熟练。使用采矿工具来提高这一技能。
actionPerkMiningEffect,[decea3]+0.5%[-] 物块伤害，[decea3]+0.2%[-] 攻击速度，[decea3]-0.2%[-] 体力消耗。
actionPerkMiningLevelUp,你的[decea3]采矿工具[-]技能提高了!
actionPerkMining1,伤害[decea3] +10％[-] \n收集效率[decea3] +10％[-]
actionPerkMining2,伤害[decea3] +20％[-] \n收集效率[decea3] +20％[-]
actionPerkMining3,伤害[decea3] +30％[-] \n收集效率[decea3] +30％[-]
actionPerkMining4,伤害[decea3] +40％[-] \n收集效率[decea3] +40％[-]
actionPerkMining5,伤害[decea3] +50％[-] \n收集效率[decea3] +50％[-]
attFortitudeName,强健
attFortitudeDesc,熟练掌握[decea3] 强健 [-]技能，提高爆头伤害和肢解几率：[decea3]霰弹枪[-]，[decea3]徒手格斗[-]和[decea3]拳套[-]
attFortitudeDesc01,技能经验值[decea3] +10％[-] \n爆头伤害[decea3] +5％[-] \n肢解几率[decea3] +2.5％[-]
attFortitudeDesc02,技能经验值[decea3] +20％[-] \n爆头伤害[decea3] +10％[-] \n肢解几率[decea3] +5％[-]
attFortitudeDesc03,技能经验值[decea3] +30％[-] \n爆头伤害[decea3] +15％[-] \n肢解几率[decea3] +7.5％[-]
attFortitudeDesc04,技能经验值[decea3] +40％[-] \n爆头伤害[decea3] +20％[-] \n肢解几率[decea3] +10％[-]
attFortitudeDesc05,技能经验值[decea3] +50％[-] \n爆头伤害[decea3] +25％[-] \n肢解几率[decea3] +12.5％[-]
attFortitudeDesc06,技能经验值[decea3] +60％[-] \n爆头伤害[decea3] +30％[-] \n肢解几率[decea3] +15％[-]
attFortitudeDesc07,技能经验值[decea3] +70％[-] \n爆头伤害[decea3] +35％[-] \n肢解几率[decea3] +17.5％[-]
attFortitudeDesc08,技能经验值[decea3] +80％[-] \n爆头伤害[decea3] +40％[-] \n肢解几率[decea3] +20％[-]
attFortitudeDesc09,技能经验值[decea3] +90％[-] \n爆头伤害[decea3] +45％[-] \n肢解几率[decea3] +22.5％[-]
attFortitudeDesc10,技能经验值[decea3] +100％[-] \n爆头伤害[decea3] +50％[-] \n肢解几率[decea3] +25％[-]
skillFortitudeSurvivalName,生存
skillFortitudeRecoveryName,恢复
perkBoomstick1,霰弹枪的伤害、射速、装弹速度提高[decea3] 5％[-]。
perkBoomstick2,霰弹枪的伤害、射速、装弹速度提高[decea3] 10％[-]。使敌人昏迷[decea3] 4 [-]秒
perkBoomstick3,霰弹枪的伤害、射速、装弹速度提高[decea3] 15％[-]。使敌人昏迷[decea3] 6 [-]秒
perkBoomstick4,霰弹枪的伤害、射速、装弹速度提高[decea3] 20％[-]。使敌人昏迷[decea3] 8 [-]秒
perkBoomstick5,霰弹枪的伤害、射速、装弹速度提高[decea3] 25％[-]。使敌人昏迷[decea3] 8 [-]秒。[decea3]射击腿部瘫痪敌人[-]
perkBrawler1,拳头和拳套造成的伤害增加[decea3] 5％[-]，打中头部可以解除感染能力。
perkBrawler2,拳头和拳套造成的伤害增加[decea3] 10％[-]。强力攻击有[Decea3] 30％[-]几率使敌人昏迷
perkBrawler3,拳头和拳套造成的伤害增加[decea3] 15％[-]，对头部的强力攻击有[decea3] 20％[-]几率击倒敌人
perkBrawler4,拳头和拳套造成的伤害增加[decea3] 20％[-]，对头部的强力攻击有[decea3] 30％[-]几率击倒敌人
perkBrawler5,拳头和拳套造成的伤害增加[decea3] 25％[-]，用拳头将敌人斩首的可能性提高[decea3] 20％[-]
perkWellInsulated1,获得[decea3] 5 [-]点隔热防寒能力，寒冷和过热时，食物和水的损失减少[decea3] 15％[-]
perkWellInsulated2,获得[decea3] 10 [-]点隔热防寒能力，寒冷和过热时，食物和水的损失减少[decea3] 30％[-]
perkWellInsulated3,获得[decea3] 15 [-]点隔热防寒能力，寒暑不侵
perkPainTolerance1,生命值损失降低[decea3] 4％[-]，增加[decea3] 10％[-]眩晕抗性
perkPainTolerance2,生命值损失降低[decea3] 8％[-]，增加[decea3] 20％[-]眩晕抗性
perkPainTolerance3,生命值损失降低[decea3] 12％[-]，增加[decea3] 30％[-]眩晕抗性
perkPainTolerance4,生命值损失降低[decea3] 16％[-]，增加[decea3] 40％[-]眩晕抗性
perkPainTolerance5,生命值损失降低[decea3] 20％[-]，增加[decea3] 50％[-]眩晕抗性
perkPhysicianName,野战军医
perkPhysician1,随着时间的推移，医疗物品恢复的生命值增加[decea3] 10％[-]，使用时给予的经验值增加[decea3] 40％[-]
perkPhysician2,随着时间的推移，医疗物品恢复的生命值增加[decea3] 20％[-]，使用时给予的经验值增加[decea3] 60％[-]。
perkPhysician3,随着时间的推移，医疗物品恢复的生命值增加[decea3] 30％[-]，使用时给予的经验值增加[decea3] 80％[-]
perkPhysician4,随着时间的推移，医疗物品恢复的生命值增加[decea3] 50％[-]，使用时给予的经验值增加[decea3] 100％[-]。
actionPerkShotguns,霰弹枪
actionPerkShotgunsDesc,提高 [decea3] 霰弹枪 [-] 的射速、装填速度、伤害和瞄准 [decea3]25%[-]。使用霰弹枪来提高这项技能。
